no,id,tweet,subtask_c
0,15923,"# whoisq # wherestheserver # dumpnike # declasfisa democrat support antifa , muslim brotherhood , m , isi , pedophilia , child trafficking , taxpayer funded abortion ’ , election fraud , sedition treason ! ! ! # lockthemallup # wwg wga # qanon ⁦ @ user url",OTH
1,60133,# nopasaran : unity demo oppose far-right # london – # antifa # oct — enough enough ! url,GRP
2,83681,. . . fuck time ?,IND
3,65507,@ user get feeling kissing @ user behind humiliate later ?,OTH
4,34263,# stopkavanaugh liar like rest # gop url,IND
5,49139,@ user @ user put delauro police lineup identifying bag lady '' - would picked everytime ! proof either conn voter incompetent vote part vast voter fraud conspiracy ! one vote woman gross ! '',IND
6,58995,"@ family/friends , tell bad shit bf/gf go right back ! ! !",GRP
7,88490,# christineblaseyford # kavanaugh accuser ... # liberal try every time ... # confirmjudgekavanaugh url,IND
8,46444,"# arianaasesina ? serious ? ! holy shit , please fucking asshole , n't blame someone death one . sad enough today , n't see ? n't fault none , overdose died . end . stop wanting someone blame , fucker .",IND
9,60587,@ user hiding ugly personality . worst .,IND
10,44546,@ user @ user @ user @ user @ user @ user @ user @ user @ user ’ shocked learn human trafficker gun . probably illegal . ca need gun control . ’ worry actual crime . pic black gun worse .,GRP
11,51628,# conservative @ user - 're clown ! url,IND
12,40110,# kid beating # paraplegic # trump # boy ! # left teach # child hate violence ! # school # teacher # democrat # liberal # walkaway # mom # mother # nea # teachthemyoung # christian # catholic # jew # evangelicals # family # blackwomen # blacktwitter # black # news # medium # disabled # maga url,GRP
13,15998,*gets bitches*,OTH
14,96457,# antifa : take note protest civility . socialism ( aka communism ) never win . inherently evil unsustainable . url,GRP
15,70841,@ user omg real ? ! ? ! ! ? ? ? ? ? ? ) happened peru like year ago inti devaluated fucking much comoletely change coin system money worthless i-,IND
16,46139,"# conservatism 's disagreement # conservative . conservative ca n't debate honestly , integrity . whatever get thru today , matter . 're fundamentally dishonest people . url",GRP
