,id,tweet,subtask_a,subtask_b,subtask_c
0,86426,@ USER She should ask a few native Americans what their take on this is .,OFF,UNT,
1,90194,@ USER @ USER Go home you ’ re drunk ! ! ! @ USER # MAGA # Trump 👊🇺🇸👊 URL,OFF,TIN,IND
2,16820,Amazon is investigating Chinese employee who are selling internal data to third-party seller looking for an edge in the competitive marketplace . URL # Amazon # MAGA # KAG # CHINA # TCOT,NOT,,
3,62688,@ USER Someone should'veTaken '' this piece of shit to a volcano . 😂 '',OFF,UNT,
4,43605,@ USER @ USER Obama wanted liberal & amp ; illegals to move into red state,NOT,,
5,97670,@ USER Liberals are all Kookoo ! ! !,OFF,TIN,OTH
6,77444,@ USER @ USER Oh no ! Tough shit .,OFF,UNT,
7,52415,@ USER wa literally just talking about this lol all mass shooting like that have been set ups . it ’ s propaganda used to divide u on major issue like gun control and terrorism,OFF,TIN,GRP
8,45157,@ USER Buy more icecream ! ! !,NOT,,
9,13384,@ USER Canada doesn ’ t need another CUCK ! We already have enough # LooneyLeft # Liberals f**king up our great country ! # Qproofs # TrudeauMustGo,OFF,TIN,IND
10,82776,@ USER @ USER @ USER It ’ s not my fault you support gun control,NOT,,
11,42992,@ USER What ’ s the difference between # Kavanaugh and @ USER One of these men admitted to groping a year old girl year ago . The other is going to be # confirmed to the SCJ # DemsareFrauds # DemsAreDone # WalkAwayDemocrats # redwave # VoteRedSaveAmerica # trumptrain # MAGA URL,NOT,,
12,28414,@ USER you are a lying corrupt traitor ! ! ! Nobody want to hear anymore of your lie ! ! ! # DeepStateCorruption URL,OFF,TIN,IND
13,54920,@ USER @ USER @ USER It should scare every American ! She is playing Hockey with a warped puck !,NOT,,
14,56392,@ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER @ USER I like my soda like I like my boarder with a lot of ICE .,NOT,,
15,86735,@ USER you are also the king of taste,NOT,,
16,95686,# MAGA @ USER 🎶 Sing like no one is listening ♥️ Love like you 've never been hurt ✔️ Vote GOP when no one is watching 🙉 And do n't listen to Liberals ' dirt URL,NOT,,
17,71446,/ : @ USER The time is right for this House to respond to the concern of all Canadians . Four out of five Canadians support stronger gun control and with good reason. ” # guncontrol # cdnpoli # cdnhist '',NOT,,
18,23958,@ USER Besides Jax ’ s mom and maybe Ope he is hand down my favorite he ’ s like the only good person on the show 😂,NOT,,
19,28195,@ USER @ USER @ USER gun control ! That is all these kid are asking for !,OFF,TIN,OTH
20,56117,@ USER @ USER @ USER @ USER LOL ! ! ! Throwing the BULLSHIT Flag on such nonsense ! ! # PutUpOrShutUp # Kavanaugh # MAGA # CallTheVoteAlready URL,OFF,TIN,IND
21,67757,@ USER @ USER You are correct .,NOT,,
22,12681,@ USER @ USER Kind of like when conservative wan na associate everyone to their left a communist antifa member ?,OFF,TIN,GRP
23,82904,@ USER @ USER Da fuck is going on people ? There 's the men 's room and the woman 's room Pick one and stick w it 🤔,OFF,TIN,GRP
24,63236,@ USER Been a Willie fan since before most of you were born ... .LOVE that he is holding a rally with Beto ... . Exactly WHICH fan are furious ? Could you give some specific ? URL,NOT,,
25,77665,@ USER Tbh these day i just do n't like people in general i just do n't connect with people these day just a annoyance..,OFF,TIN,IND
26,83484,South Korean Official : “ Leaders will discus specific denuke measure in Pyongyang ” '' URL # TCOT # MAGA # RedNationRising '',NOT,,
27,74932,@ USER @ USER You can tell he is a hooper too,NOT,,
28,91252,@ USER I feel like he is better chasing the title,NOT,,
29,25440,@ USER @ USER @ USER She ? To whom are you referring to ? Hillary ? You know what is tiresome ? Bernie supporter bashing Hillary Clinton . She is an actual Democrat who raise money for the Democratic Party and doesn ’ t bash them . She ha a positive message . So who is dividing the left ?,OFF,UNT,
30,81613,@ USER Glad to see your friend are supporting Metis right a much a you are supporting Zionists . URL,NOT,,
