id,tweet,subtask_c
15923,"# whoisq # wherestheserver # dumpnike # declasfisa democrat support antifa , muslim brotherhood , m , isi , pedophilia , child trafficking , taxpayer funded abortion ’ , election fraud , sedition treason ! ! ! # lockthemallup # wwg wga # qanon ⁦ @ user url",2
60133,# nopasaran : unity demo oppose far-right # london – # antifa # oct — enough enough ! url,1
83681,. . . fuck time ?,0
65507,@ user get feeling kissing @ user behind humiliate later ?,2
34263,# stopkavanaugh liar like rest # gop url,0
49139,@ user @ user put delauro police lineup identifying bag lady '' - would picked everytime ! proof either conn voter incompetent vote part vast voter fraud conspiracy ! one vote woman gross ! '',0
58995,"@ family/friends , tell bad shit bf/gf go right back ! ! !",1
88490,# christineblaseyford # kavanaugh accuser ... # liberal try every time ... # confirmjudgekavanaugh url,0
46444,"# arianaasesina ? serious ? ! holy shit , please fucking asshole , n't blame someone death one . sad enough today , n't see ? n't fault none , overdose died . end . stop wanting someone blame , fucker .",0
60587,@ user hiding ugly personality . worst .,0
44546,@ user @ user @ user @ user @ user @ user @ user @ user @ user ’ shocked learn human trafficker gun . probably illegal . ca need gun control . ’ worry actual crime . pic black gun worse .,1
51628,# conservative @ user - 're clown ! url,0
40110,# kid beating # paraplegic # trump # boy ! # left teach # child hate violence ! # school # teacher # democrat # liberal # walkaway # mom # mother # nea # teachthemyoung # christian # catholic # jew # evangelicals # family # blackwomen # blacktwitter # black # news # medium # disabled # maga url,1
15998,*gets bitches*,2
96457,# antifa : take note protest civility . socialism ( aka communism ) never win . inherently evil unsustainable . url,1
70841,@ user omg real ? ! ? ! ! ? ? ? ? ? ? ) happened peru like year ago inti devaluated fucking much comoletely change coin system money worthless i-,0
46139,"# conservatism 's disagreement # conservative . conservative ca n't debate honestly , integrity . whatever get thru today , matter . 're fundamentally dishonest people . url",1
40386,@ user @ user @ user @ user ’ many shooting virginia ? jacksonville shooter got gun maryland ! ! among poster child gun control ! good ? ! ’ full crap .,1
98916,"# antifa bedfellow democratic socialist america ( dsa ) # jamesokeefe exposed inserted throughout government , attempting bring # america # trump # maga # deepstate url",2
32190,@ user antifa t level influence . 's scary .,2
