id,tweet,subtask_b
15923,"# whoisq # wherestheserver # dumpnike # declasfisa democrat support antifa , muslim brotherhood , m , isi , pedophilia , child trafficking , taxpayer funded abortion ’ , election fraud , sedition treason ! ! ! # lockthemallup # wwg wga # qanon ⁦ @ user url",1
60133,# nopasaran : unity demo oppose far-right # london – # antifa # oct — enough enough ! url,1
83681,. . . fuck time ?,1
65507,@ user get feeling kissing @ user behind humiliate later ?,1
12588,@ user nigga ware da hit,0
34263,# stopkavanaugh liar like rest # gop url,1
49139,@ user @ user put delauro police lineup identifying bag lady '' - would picked everytime ! proof either conn voter incompetent vote part vast voter fraud conspiracy ! one vote woman gross ! '',1
58995,"@ family/friends , tell bad shit bf/gf go right back ! ! !",1
88490,# christineblaseyford # kavanaugh accuser ... # liberal try every time ... # confirmjudgekavanaugh url,1
46444,"# arianaasesina ? serious ? ! holy shit , please fucking asshole , n't blame someone death one . sad enough today , n't see ? n't fault none , overdose died . end . stop wanting someone blame , fucker .",1
60587,@ user hiding ugly personality . worst .,1
70569,... ... bitch url,0
44546,@ user @ user @ user @ user @ user @ user @ user @ user @ user ’ shocked learn human trafficker gun . probably illegal . ca need gun control . ’ worry actual crime . pic black gun worse .,1
51628,# conservative @ user - 're clown ! url,1
30899,*voice head transfer money credit card* “ bullshit bought pay ”,0
40110,# kid beating # paraplegic # trump # boy ! # left teach # child hate violence ! # school # teacher # democrat # liberal # walkaway # mom # mother # nea # teachthemyoung # christian # catholic # jew # evangelicals # family # blackwomen # blacktwitter # black # news # medium # disabled # maga url,1
15998,*gets bitches*,1
96457,# antifa : take note protest civility . socialism ( aka communism ) never win . inherently evil unsustainable . url,1
70841,@ user omg real ? ! ? ! ! ? ? ? ? ? ? ) happened peru like year ago inti devaluated fucking much comoletely change coin system money worthless i-,1
46139,"# conservatism 's disagreement # conservative . conservative ca n't debate honestly , integrity . whatever get thru today , matter . 're fundamentally dishonest people . url",1
80947,apparently 'm committed going new level since used key . well fuck . curiosity killed cat ( hy ),0
40386,@ user @ user @ user @ user ’ many shooting virginia ? jacksonville shooter got gun maryland ! ! among poster child gun control ! good ? ! ’ full crap .,1
98916,"# antifa bedfellow democratic socialist america ( dsa ) # jamesokeefe exposed inserted throughout government , attempting bring # america # trump # maga # deepstate url",1
32190,@ user antifa t level influence . 's scary .,1
27550,"@ user three account . two quasi-anonymous , one completely anon . twitter ever ban one quasi-anon , 'll make two anon account tweet insane shit . drown twitter bullshit . one banned , 'll make even .",1
24040,# liberal pathetic ! innocent proven guilty mean much ? # democrat look party need rapist hang ! # kavanaughisinnocent # walkawayfromdemocrats . # liberallies straight pitt hell  url,1
73516,"$ million reallocated fema ice . guy give zero shit anyone named trump . ’ mid atlantic , get . . url",1
88905,# fortnitebattleroyale # xboxshare @ user please ban cheating scum . literally invisible url,1
42112,# sesamestreet # bertandernie conversation unattractive . creator say n't create character gay attacked .,1
37740,# serenawilliams full ... painful watch listen ...,1
72405,"# colinkapernaeck done nothing sit as complain . ’ time black people die hard white liberal , think cause aka @ user wake heck stfu ! colin civil right hero martyr . near .",1
47445,". jeff session : ‘ listen aclu , antifa , black life matter ’ want chicago shooting . url",1
27158,amazon ship live christmas tree door — stay put damn light ? url,1
17183,@ user bet lot safer sex tho ? ’ one kid . cant mom get dicked ?,1
42325,# conservative govt ' @ user made life hell ' : whistleblower say threatened regulator ; thought govt promised protect whistleblower ? url,1
15180,# fortnitebattleroyale # xboxshare @ user please ban cheating scum . literally invisible url,1
58026,# maga # qanon # greatawakening # inners # wwg wga # nowcomesthepain # walkaway # goodbyedemocrats ellison accuser say 's sidelined party url,1
81352,# boycottnfl . @ user dead . @ user @ user url,1
33133,"@ user # walkawayfromalldemocrats michelle year sure n't need bad advice . new sheriff town , 's # maga . get vote - color , gender ( aka ) american ! ! ! url",1
91036,# blaseyford ’ comical liberal always want way first woman need treated equal come ford testifying say ’ unfair men asking question . dems woman equal receive special treatment ?,1
22882,"# ted always feel appropriate public behavior . , often , unable control . # gopdysfunction url",1
40842,"@ user stick comedy ... n't funny yo start , political commentary pathetic ! ! !",1
73612,@ user # holder needed impeached,1
15815,# believeallwomen think thing ca n't get dumber.. happens.. liberal probably n't realize child n't equality . treat woman men same.. pretty sure 'll better result culture,1
24049,# sierraburgessisaloser phone ding ,1
79204,@ user # metoo racist !,1
46229,# gop still acting like wimp are.. ! ? ’ yet realized liberal hate regardless sentiments.. either republican stupid get way ’ tilted far left.. # confirmkavanaughnow,1
42196,# thearchers want brilliant karate kick shit everyone '' '',0
34669,# dregsofsociety ? ? ? # deplorables liberal usually dehumanize want exterminate later url,1
34575,# emmyawards - rating tank expected . possibly stand watch many liberal one place one time .,1
20357,@ user # gutierrez always nothing # racebaiter,1
52445,"# elitist # actor # nbc # liberal # dems # hollywood # emmy award 'toothless ' # nbc self-promotion onslaught peppered # metoo crack planned , staged okay # democrat # socialist # liberal # left # walkaway ! url",1
10991,# drford # dearprofessorford fraud female @ user group paid organized # georgesoros url,1
57135,"# bluewave # dumptrump …give love , cooperate/compromise w/ , conservatives/trump supporter constantly vilify marginalized group , constantly attack woman ’ right make choice body , …",1
72369,# nightmayor 's dt cycle track easily open antifa tennis court inside crescent height able trash nenshi ’ communist vape shop !,1
42192,# arunjaitleystepdown shameless # fm history india audacity shamelessness lie public disgrace post .,1
43587,# conservative £ bn housing on-trick @ user - crock sh # te '' ! @ user # housingcrisis url,1
10684,week resp done still n't know shit as still vacation mode ,0
41553,# coupdetat # spain # catalona . # spain # fakedemocracy @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user # cddr # shameonspain # wakeupeurope @ user @ user url,1
62986,"# liberalismisamentaldisorder , also danger country . # liberal showing utterly hateful . care truth , care power .",1
70051,@ user coranated attack idiot loon ! get worse much worse election ! u imagine idiot want get rid economy along interest rate polished politician ? idiot !,1
73642,@ user @ user awwww stinking cute ! old ?,1
10727,"# benghazi # haiti # uraniumone # sethrich justice department need ? double standard ! 're rich powerful n't mean rob , seal murder ! # draintheswamp # hillaryforprison # votered # maga url",0
11645,# jointhefight join fight american communist ... democrat liberal taken crap edge coming back . openly promoting destruction america . # jointhefightagainstcommunism url,1
72274,@ user @ user stated talk zionist involvement / metaphysical masturbation disinformation agent taking advantage people lesser intellect . ashamed ’ ’ # zionel,1
21524,"# khaleesi kinda watching # hiac ! wtf think , person ? pffft pathetic url",1
84579,and🤷‍ female b shit url,1
59519,# declassifydocuments love watching liberal like maria squirm . # outnumbered,1
51386,"# politicsinfocus look donald ! duck , stop patronizing ! url",1
10918,# carbontax work put ton money back canadian pocket . . @ user . @ user . @ user . @ user part trudeau campaigning national carbon tax . conservative died . want another death ... oblige . url,1
57541,antonia evans either sex trafficked cremated .,1
25125,# theview stormy trapped dollar bill face poor pornstar worry democratic party leader,1
61295,entertainment agency gon na as . url,1
53351,"# trump really , everything trump another piece evidence obstruction justice . talking crime machine .",1
25463,"# disarmthem ? go show moronic antifa type , good way encourage dumbass rightfully get speedrocked . open carry user practice weapon retention . gun grab go badly try . get shot , n't . # url",1
85613,# christinebford # liberalsaredesperate @ user every time liberal n't get way cry racism sexual assault . hard believe,1
85886,"# cincinnatienquirer step # gun control finally . took # massshhoting damn door step # editor wake , better late never . url",1
54621,! ! ! ! bitch ’ fucking coming back url,1
80397,# liberal reaching peak desperation call # phillipruddock talk # turnbull convince help # wentworthvotes sept @ user # auspol # lnp # nswpol @ user @ user @ user # lnpmemes url,1
68875,$ uicideboy $ halloween aboout get sooooo fucking spooky,0
67926,"# democrat controlled city strict gun control law @ user want blame # gop um , ’ rich # democrat trying keep black poverty ? # walkaway url",1
41588,@ user got love people making law tend know nothing subject 're making law . hear gun control law people try pas state .,1
51948,@ user # walkawayfromcatholicism corrupt core become giant autocratic pedophile ring .,1
28196,"# california patriot ... especially # ca obama/soros attempting take house seat get control congress . say tj cox . shill candidate fronted dastardly duo . please get vote david valadao house , dist ! follow @ user url",1
50376,- take nigga name bio . url,1
45304,# arrestgeorgesoros fund # domesticterrorists # antifa url,1
27228,# conservative govt run debt spite austerity cut rich doubled wealth . # inequality url via @ user,1
57326,# crowderconfronts continues expose sjw bully paper tiger conservative fight back truth fact . # dontbeafraid # confrontwithtruth url,1
88221,# biggbosstelugu many # kaushalarmy cum @ user fan ... url,1
17714,"# son , knockin fuckin park ... ... url",0
97610,"@ user @ user @ user okay ? anybody go eredivise score + goal . shit league . bundesliga team competitive euro competition . mexico ’ produced talent like pulisic long time . ’ okay , maybe guy one day .",1
63048,# kalyani stupid teenager . totally despise atrocity towards aunty anupriya . blame mom ’ death . stop listen anupriya side story make vile accusation # tujhsehairaabta # zeetvserials,1
30075,# kalyani stupid teenager . totally despise atrocity towards aunty anupriya . blame mom ’ death . stop listen anupriya side story make vile accusation # tujhsehairaabta # zeetvserials,1
