id,tweet,subtask_a
15923,"# whoisq # wherestheserver # dumpnike # declasfisa democrat support antifa , muslim brotherhood , m , isi , pedophilia , child trafficking , taxpayer funded abortion ’ , election fraud , sedition treason ! ! ! # lockthemallup # wwg wga # qanon ⁦ @ user url",1
27014,"# constitutionday revered conservative , hated progressives/socialist/democrats want change .",0
30530,"# foxnews # nra # maga # potus # trump # ndamendment # rnc # usmc # veteran @ user @ user @ user @ user @ user # fakereporting # theswamp # dnc # liberal @ user @ user # fakeoutrage @ user first , reduces ca url",0
13876,# watching # boomer getting news still parole always make smile . # wentworth finale ... @ user treasure . url,0
60133,# nopasaran : unity demo oppose far-right # london – # antifa # oct — enough enough ! url,1
83681,. . . fuck time ?,1
96874,# rap form art ! used express freely . gv green light excuse behavior acting like animal ! street bx violence way living . elevate boo get @ user level longevity ! # queen,0
65507,@ user get feeling kissing @ user behind humiliate later ?,1
78910,tip enhance audience connection facebook url @ user # socialmedia # smm url,0
46363,# biggbosstamil janani task . going first final list,0
68123,# conservative - party low taxation  # tory # tory url,0
22452,"-.. nord make single move , fully aware happening . chill come spine ghostly , rather . . . calm female voice called corner room . even time /attempt/ response , +",0
15565,# constoo place fed conservative ! ! !,0
64376,# greatawakening # qanon # patriotsunited # wwg wga # areyouawake awake see clearly 🧡 check video url url,0
12588,@ user nigga ware da hit,1
34263,# stopkavanaugh liar like rest # gop url,1
65773,# dayspromo week september th # day # dool coma thing gal . sami : going ok. hattie : thanks . get . finish . hattie pretend marlena . look kayla face priceless . url,0
95457,# biggbosstelugu let ’ include @ user tweet ... business head star maa network..don ’ know know biggboss team host hurting audience emotion # biggbosstelugu,0
24930,"# dallas # policewoman kill neighbor apartment ? went wrong ? ? see : officer shot man apartment involved shooting suspect . “ devastated , said dallas police officer , add `` sorry family ? '' url",0
15938,always smack url,0
45712,"# breaking : week-long trial , linn county jury convicted gregory davis first-degree murder connection carrie davis homicide took place almost year ago . url url",0
70840,# kavanaugh wild claim year ago groping evolved rape violent sexual event move url soros based org . support blm antifa etc . unbeievable !,0
53563,"# kznlt enjouji really prototype character brand , nothing thing love rolled one horrible package fed directly baby 's subconscious .",0
59432,# silsilabadallterishtonka tag filled appreciation @ user ... . never watched serial always wanted appreciation aditi ... underrated since starting show ... worth appreciation.. ,0
21454,# beto # betoforsenate # betoorourke # betofortx willie nelson laugh conservative upset . url,0
83155,# hiac damn matt hardy randy orton put one hell cell match ! ! woooo ! ! ! hope okay ! !,0
69576,@ user school shooting n't controversial . wanting gun control .,0
49139,@ user @ user put delauro police lineup identifying bag lady '' - would picked everytime ! proof either conn voter incompetent vote part vast voter fraud conspiracy ! one vote woman gross ! '',1
76669,@ user *coffee spit* spartacus moment ? never saw film ...,0
