id,tweet,subtask_a,subtask_b,subtask_c
86426,@ user ask native american take .,1,0,
90194,@ user @ user go home ’ drunk ! ! ! @ user # maga # trump  url,1,1,0
16820,amazon investigating chinese employee selling internal data third-party seller looking edge competitive marketplace . url # amazon # maga # kag # china # tcot,0,,
62688,@ user someone should'vetaken '' piece shit volcano .  '',1,0,
43605,@ user @ user obama wanted liberal & amp ; illegals move red state,0,,
97670,@ user liberal kookoo ! ! !,1,1,2
77444,@ user @ user oh no ! tough shit .,1,0,
52415,@ user literally talking lol mass shooting like set ups . ’ propaganda used divide u major issue like gun control terrorism,1,1,1
45157,@ user buy icecream ! ! !,0,,
13384,@ user canada ’ need another cuck ! already enough # looneyleft # liberal f**king great country ! # qproofs # trudeaumustgo,1,1,0
82776,@ user @ user @ user ’ fault support gun control,0,,
42992,@ user ’ difference # kavanaugh @ user one men admitted groping year old girl year ago . going # confirmed scj # demsarefrauds # demsaredone # walkawaydemocrats # redwave # voteredsaveamerica # trumptrain # maga url,0,,
28414,@ user lying corrupt traitor ! ! ! nobody want hear anymore lie ! ! ! # deepstatecorruption url,1,1,0
54920,@ user @ user @ user scare every american ! playing hockey warped puck !,0,,
56392,@ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user like soda like like boarder lot ice .,0,,
86735,@ user also king taste,0,,
95686,# maga @ user  sing like one listening  love like 've never hurt  vote gop one watching  n't listen liberal ' dirt url,0,,
71446,/ : @ user time right house respond concern canadian . four five canadian support stronger gun control good reason. ” # guncontrol # cdnpoli # cdnhist '',0,,
23958,@ user besides jax ’ mom maybe ope hand favorite ’ like good person show ,0,,
28195,@ user @ user @ user gun control ! kid asking !,1,1,2
56117,@ user @ user @ user @ user lol ! ! ! throwing bullshit flag nonsense ! ! # putuporshutup # kavanaugh # maga # callthevotealready url,1,1,0
67757,@ user @ user correct .,0,,
12681,@ user @ user kind like conservative wan na associate everyone left communist antifa member ?,1,1,1
